college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,1,HS23111,Technical Communication I,2,HS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,1,MA23116,Mathematical Foundations for AI,4,BS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,1,GE23117,தமிழர் மரபு / Heritage of Tamils,1,HS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,1,PH23132,Physics for Information Science,4,BS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,1,GE23131,Programming using C,4,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,1,EE23133,Basic Electrical and Electronics Engineering,4,ES,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,1,MC23111,Indian Constitution and Freedom Movement,0,MC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,2,MA23214,Probability and Inferential Statistics,4,BS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,2,GE23217,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1,HS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,2,GE23111,Engineering Graphics,4,ES,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,2,IT23231,Digital Principles and Computer Architecture,4,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,2,CS23231,Data Structures,5,PC,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,2,HS23221,Technical Communication II / English for Professional Competence,1,HS,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,2,GE23123,"Engineering Practices: Electrical, Electronics and Computer Systems",2,ES,,core
Rajalakshmi Engineering College,REC,Artificial Intelligence and Data Science,AIDS,R2023,2,CS23221,Python Programming Lab,2,PC,,core
